Player,Team,Nation,Pos,Age,MP,Starts_x,Min,Ast_x,G-PK,PKatt_x,CrdY,CrdR,xG_x,npxG_x,xAG_x,PrgC_x,PrgP_x,PrgR_x,Ast_x,G-PK,G+A-PK,xG_x,xAG_x,xG+xAG,npxG_x,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_y,PKA,PKsv,PKm,Save%,Gls,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,Cmp_x,Att_x,Cmp%,TotDist_x,PrgDist_x,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast_y,xAG_y,xA,A-xAG,KP,1/3_x,PPA,CrsPA,PrgP_y,Live_x,Dead,FK_y,TB,Sw,Crs_x,TI,CK,In,Out,Str,Off_x,Blocks_x,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld_x,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_y,Fld_x,Def,Tkl,TklW,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tkl,Att_y,Tkl%,Lost_x,Blocks_y,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live_y,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_y,PrgDist_y,PrgC_y,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,onxG,onxGA,Fls,Fld_y,Off_y,OG,Recov,Won,Lost_y,Won%
Declan Rice,Arsenal,eng ENG,MF,24,38,37,"3,225",8,7,0,5,0,3.3,3.3,5.3,75,278,64,0.22,0.20,0.42,0.09,0.15,0.24,0.09,,,,,,,,,,,,,,,,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,+3.7,+3.7,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,+2.7,47,240,39,2,278,2181,107,48,2,17,60,1,47,38,0,0,7,26,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,87,29,1,24,0,2.34,84,28,71.6,26.5,34,13,2,0,178,39,43,47.6
Dejan Kulusevski,Tottenham,se SWE,"FW,MF",23,36,31,"2,762",3,8,0,7,0,4.7,4.7,7.7,151,144,388,0.10,0.26,0.36,0.15,0.25,0.40,0.15,,,,,,,,,,,,,,,,8,57,23,40.4,1.86,0.75,0.14,0.35,15.7,0,0,0,4.7,4.7,0.08,+3.3,+3.3,953,1234,77.2,13509,3584,610,700,87.1,279,363,76.9,39,72,54.2,3,7.7,6.7,-4.7,66,55,73,19,144,1185,42,8,12,6,89,6,24,6,0,0,7,55,127,4.14,104,1,9,11,0,2,8,0.26,6,0,1,0,0,1,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1,1623,12,167,503,984,226,1623,129,54,41.9,66,51.2,1169,7680,3856,151,61,82,86,65,1229,388,85,21,5,26,0,1.72,57,46,55.0,48.7,54,29,10,0,133,7,15,31.8
Destiny Udogie,Tottenham,it ITA,DF,20,28,28,"2,391",3,2,0,7,1,2.4,2.4,2.2,83,155,138,0.11,0.08,0.19,0.09,0.08,0.17,0.09,,,,,,,,,,,,,,,,2,9,5,55.6,0.34,0.19,0.22,0.40,10.1,0,0,0,2.4,2.4,0.27,-0.4,-0.4,1235,1440,85.8,16731,5145,775,844,91.8,400,460,87.0,19,33,57.6,3,2.2,2.0,+0.8,24,115,13,0,155,1212,225,24,0,0,22,201,0,0,0,0,3,42,57,2.15,51,0,4,2,0,0,7,0.26,6,0,0,1,0,0,68,33,41,16,11,27,49,55.1,22,27,8,19,37,105,80,5,1775,96,487,815,506,71,1775,58,24,41.4,26,44.8,974,6108,3320,83,65,19,49,26,1028,138,85,21,0,N/a,0,1.93,56,40,48.3,42.4,51,36,3,0,169,22,26,45.8
Diego Carlos,Aston Villa,br BRA,DF,30,27,20,"1,816",0,0,0,4,0,1.9,1.9,0.1,4,59,1,0.00,0.00,0.00,0.10,0.00,0.10,0.10,,,,,,,,,,,,,,,,0,10,1,10.0,0.50,0.05,0.00,0.00,9.1,0,0,0,1.9,1.9,0.19,-1.9,-1.9,1184,1340,88.4,23313,9315,357,378,94.4,714,749,95.3,107,199,53.8,0,0.1,0.4,-0.1,3,72,4,0,59,1293,47,41,0,6,1,0,0,0,0,0,0,4,9,0.45,9,0,0,0,0,0,2,0.10,2,0,0,0,0,0,27,16,22,4,1,13,21,61.9,8,24,19,5,13,40,78,3,1517,244,867,610,43,23,1517,4,2,50.0,2,50.0,1013,4786,2606,4,2,1,8,4,1118,1,86,18,7,15,5,1.56,35,36,31.4,33.8,26,4,1,0,78,21,26,44.7
Diogo Dalot,Manchester Utd,pt POR,DF,24,36,35,"3,174",3,2,0,6,1,1.7,1.7,2.9,52,124,111,0.09,0.06,0.14,0.05,0.08,0.13,0.05,,,,,,,,,,,,,,,,2,30,7,23.3,0.85,0.20,0.07,0.29,21.0,0,0,0,1.7,1.7,0.06,+0.3,+0.3,1486,1830,81.2,24927,8066,729,817,89.2,574,701,81.9,139,213,65.3,3,2.9,2.4,+0.1,37,107,31,16,124,1546,277,21,1,7,80,251,5,2,3,0,7,39,78,2.21,67,4,2,3,1,1,7,0.20,6,0,0,1,0,0,81,51,58,12,11,51,74,68.9,23,44,16,28,37,118,111,0,2196,185,752,873,587,48,2196,52,31,59.6,18,34.6,1149,5413,2901,52,43,10,24,11,1255,111,90,34,1,25,1,1.58,56,55,51.5,64.3,45,14,2,0,195,32,25,56.1
Diogo Jota,Liverpool,pt POR,FW,26,21,14,"1,145",3,10,0,3,1,5.3,5.3,3.3,54,34,111,0.24,0.79,1.02,0.42,0.26,0.68,0.42,,,,,,,,,,,,,,,,10,41,19,46.3,3.22,1.49,0.24,0.53,12.3,0,0,0,5.3,5.3,0.13,+4.7,+4.7,287,394,72.8,3995,939,185,227,81.5,83,104,79.8,11,17,64.7,3,3.3,1.7,-0.3,22,18,12,0,34,393,1,0,5,1,9,1,0,0,0,0,0,22,48,3.77,36,0,5,3,4,0,14,1.10,7,0,4,1,2,0,23,13,6,13,4,10,23,43.5,13,9,1,8,7,30,4,0,594,8,53,240,311,107,594,41,15,36.6,21,51.2,350,2104,1239,54,29,23,42,18,427,111,71,3,7,22,1,2.29,34,10,28.5,14.0,27,21,3,0,48,17,38,30.9
Divock Origi,Nott'ham Forest,be BEL,FW,28,20,6,606,1,0,0,1,0,1.4,1.4,2.1,19,14,41,0.15,0.00,0.15,0.21,0.31,0.51,0.21,,,,,,,,,,,,,,,,0,14,2,14.3,2.08,0.30,0.00,0.00,19.7,0,0,0,1.4,1.4,0.10,-1.4,-1.4,92,144,63.9,1357,327,59,82,72.0,19,32,59.4,9,13,69.2,1,2.1,0.8,-1.1,7,7,5,1,14,143,1,1,3,0,13,0,0,0,0,0,0,10,16,2.38,11,1,2,1,1,0,2,0.30,2,0,0,0,0,0,6,4,5,0,1,0,0,N/a,0,6,0,6,2,8,4,0,225,3,23,103,105,26,225,24,9,37.5,12,50.0,144,914,409,19,9,9,16,10,172,41,57,0,14,19,7,0.60,4,6,9.6,9.4,14,8,5,0,16,11,17,39.3
Dominic Calvert-Lewin,Everton,eng ENG,FW,26,32,26,"2,171",2,5,2,2,0,12.9,11.4,3.1,36,31,122,0.08,0.21,0.29,0.54,0.13,0.66,0.47,,,,,,,,,,,,,,,,7,71,28,39.4,2.94,1.16,0.07,0.18,13.9,1,2,2,12.9,11.4,0.16,-5.9,-6.4,248,440,56.4,2917,647,175,271,64.6,49,99,49.5,6,12,50.0,2,3.1,1.6,-1.1,19,13,12,0,31,437,1,0,1,0,3,1,0,0,0,0,2,15,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0,13,6,2,6,5,2,15,13.3,13,14,4,10,4,17,38,0,738,50,79,263,399,124,736,43,14,32.6,26,60.5,357,2068,794,36,21,22,65,25,565,122,78,4,6,26,0,1.28,26,27,32.4,31.2,31,32,24,0,46,137,144,48.8
Dominic Solanke,Bournemouth,eng ENG,FW,25,38,37,"3,325",3,17,3,3,0,19.6,17.2,3.0,52,60,184,0.08,0.46,0.54,0.53,0.08,0.61,0.47,,,,,,,,,,,,,,,,19,106,35,33.0,2.87,0.95,0.16,0.49,12.2,0,2,3,19.6,17.2,0.16,-0.6,-0.2,400,544,73.5,5026,1387,262,315,83.2,93,127,73.2,11,18,61.1,3,3.0,2.0,0.0,39,32,24,3,60,485,58,0,1,1,6,4,0,0,0,0,1,30,79,2.14,61,0,6,5,4,3,6,0.16,4,0,2,0,0,0,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0,1069,57,113,426,547,216,1066,106,39,36.8,60,56.6,599,3921,1420,52,24,27,136,81,724,184,89,28,1,32,0,1.26,51,61,52.6,55.1,42,45,16,0,97,97,135,41.8
Dominik Szoboszlai,Liverpool,hu HUN,MF,22,33,25,"2,104",2,3,0,1,0,3.7,3.7,5.8,75,152,160,0.09,0.13,0.21,0.16,0.25,0.40,0.16,,,,,,,,,,,,,,,,3,60,15,25.0,2.57,0.64,0.05,0.20,24.3,7,0,0,3.7,3.7,0.06,-0.7,-0.7,1280,1550,82.6,20367,4929,694,777,89.3,441,507,87.0,98,169,58.0,2,5.8,5.1,-3.8,56,98,33,6,152,1376,167,34,3,16,113,31,66,24,28,2,7,24,115,4.92,84,21,4,3,3,0,7,0.30,5,0,0,1,1,0,32,19,12,12,8,16,50,32.0,34,37,2,35,15,47,16,1,1802,36,239,868,718,71,1802,56,24,42.9,27,48.2,1043,5475,2880,75,67,22,27,27,1238,160,79,12,8,15,0,2.12,42,23,50.5,25.5,29,29,3,0,171,12,20,37.5
Douglas Luiz,Aston Villa,br BRA,MF,25,35,35,"2,993",5,5,4,12,0,6.9,3.8,5.4,60,168,50,0.15,0.15,0.30,0.21,0.16,0.37,0.11,,,,,,,,,,,,,,,,9,44,13,29.5,1.32,0.39,0.11,0.38,23.3,5,4,4,6.9,3.8,0.09,+2.1,+1.2,1800,2101,85.7,31199,7807,812,871,93.2,775,870,89.1,167,276,60.5,5,5.4,5.3,-0.4,53,137,39,8,168,1857,237,129,11,13,115,6,100,61,7,2,7,21,117,3.52,61,34,6,10,5,1,10,0.30,5,4,0,0,1,0,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2,2351,81,519,1256,598,38,2347,47,24,51.1,16,34.0,1394,7522,3562,60,48,4,33,31,1638,50,86,26,0,N/a,0,1.69,65,57,56.4,52.7,51,41,0,0,184,25,18,58.1
Dwight McNeil,Everton,eng ENG,"MF,FW",23,35,33,"2,892",6,3,0,2,0,3.4,3.4,8.8,80,114,147,0.19,0.09,0.28,0.11,0.27,0.38,0.11,,,,,,,,,,,,,,,,3,57,14,24.6,1.77,0.44,0.05,0.21,21.0,0,0,0,3.4,3.4,0.06,-0.4,-0.4,874,1266,69.0,14956,5035,465,534,87.1,263,371,70.9,116,252,46.0,6,8.8,8.2,-2.8,69,72,54,20,114,1098,158,46,14,5,229,26,82,59,14,2,10,62,130,4.05,77,33,5,6,6,3,9,0.28,3,4,0,1,1,0,44,27,16,14,14,24,55,43.6,31,44,7,37,22,66,37,0,1621,51,247,683,724,72,1621,66,30,45.5,31,47.0,905,5845,2583,80,62,14,67,60,1032,147,86,24,2,22,0,1.37,37,39,43.3,44.6,18,33,4,0,177,16,20,44.4
Eberechi Eze,Crystal Palace,eng ENG,"MF,FW",25,27,24,"2,055",4,10,1,3,0,9.1,8.3,5.2,68,93,139,0.18,0.44,0.61,0.40,0.23,0.62,0.36,,,,,,,,,,,,,,,,11,82,33,40.2,3.59,1.45,0.12,0.30,20.7,12,1,1,9.1,8.3,0.10,+1.9,+1.7,700,909,77.0,11150,3226,353,405,87.2,253,301,84.1,61,134,45.5,4,5.2,5.6,-1.2,54,48,45,7,93,759,144,54,7,6,107,5,71,30,23,3,6,20,110,4.82,54,27,11,7,10,1,11,0.48,8,0,1,0,2,0,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0,1274,11,121,522,658,103,1273,140,69,49.3,64,45.7,789,4822,2098,68,61,43,77,48,887,139,83,12,3,18,0,1.56,41,28,32.2,30.9,27,48,11,0,135,12,24,33.3
Eddie Nketiah,Arsenal,eng ENG,FW,24,27,10,"1,082",2,5,0,3,0,4.5,4.5,0.8,22,20,77,0.17,0.42,0.58,0.38,0.07,0.45,0.38,,,,,,,,,,,,,,,,5,38,12,31.6,3.16,1.00,0.13,0.42,12.7,0,0,0,4.5,4.5,0.12,+0.5,+0.5,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75.0,2,0.8,0.7,+1.2,9,7,5,0,20,199,16,0,3,0,5,1,0,0,0,0,0,10,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0,371,5,18,148,207,75,371,30,8,26.7,15,50.0,236,1195,497,22,12,11,38,18,275,77,78,3,17,18,11,2.15,24,10,22.3,10.3,24,28,8,0,24,23,27,46.0
Ederson,Manchester City,br BRA,GK,29,33,33,"2,785",0,0,0,5,0,0.0,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,1077,1234,87.3,25898,17578,275,276,99.6,560,570,98.2,239,381,62.7,0,0.1,0.1,-0.1,1,25,1,0,4,1077,157,43,0,9,0,0,0,0,0,0,0,1,7,0.23,5,2,0,0,0,0,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,1,1283,965,1263,20,0,0,1283,1,1,100.0,0,0.0,847,3714,2353,0,0,0,0,0,842,0,84,29,0,N/a,2,2.36,78,27,66.8,28.0,2,4,0,0,53,8,0,100.0
Edson Álvarez,West Ham,mx MEX,MF,25,31,28,"2,377",1,1,0,11,0,1.3,1.3,0.6,20,91,26,0.04,0.04,0.08,0.05,0.02,0.07,0.05,,,,,,,,,,,,,,,,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,+0.4,12,87,6,1,91,1184,18,15,2,9,4,3,0,0,0,0,5,14,32,1.21,24,0,2,3,0,3,2,0.08,2,0,0,0,0,0,80,39,47,26,7,31,66,47.0,35,59,20,39,42,122,81,0,1599,150,565,854,201,16,1599,42,27,64.3,14,33.3,890,5147,2227,20,27,1,38,30,948,26,82,18,3,25,1,1.48,40,45,35.4,49.0,33,15,1,0,164,30,34,46.9
Elijah Adebayo,Luton Town,eng ENG,FW,25,27,16,"1,419",0,10,0,1,0,5.9,5.9,0.7,16,23,110,0.00,0.63,0.63,0.37,0.04,0.42,0.37,,,,,,,,,,,,,,,,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,202,1,0,1,0,5,1,0,0,0,0,1,5,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,77,5,11,16,0,0.78,30,36,22.2,28.4,27,16,13,0,34,43,43,50.0
Elliot Anderson,Newcastle Utd,eng ENG,"MF,FW",20,21,10,"1,027",2,0,0,3,0,1.5,1.5,1.9,37,57,70,0.18,0.00,0.18,0.13,0.17,0.30,0.13,,,,,,,,,,,,,,,,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,370,460,80.4,5041,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,+0.1,15,36,12,0,57,431,29,3,4,1,19,25,1,0,0,0,0,9,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0,640,23,109,278,267,46,640,43,21,48.8,18,41.9,364,2272,1213,37,23,4,28,22,416,70,80,3,11,21,0,1.86,30,14,25.9,12.2,21,19,1,0,60,19,12,61.3
Emerson,Tottenham,br BRA,DF,24,22,11,"1,161",0,1,0,4,0,0.2,0.2,0.4,21,57,35,0.00,0.08,0.08,0.02,0.03,0.05,0.02,,,,,,,,,,,,,,,,1,6,3,50.0,0.47,0.23,0.17,0.33,22.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,937,1038,90.3,13652,3714,529,558,94.8,339,362,93.6,32,45,71.1,0,0.4,0.9,-0.4,3,42,7,2,57,915,122,45,1,2,14,75,0,0,0,0,1,23,21,1.63,15,2,0,1,2,1,3,0.23,1,2,0,0,0,0,36,24,23,10,3,21,43,48.8,22,23,10,13,20,56,50,1,1220,103,462,517,249,12,1220,21,10,47.6,6,28.6,686,2759,1292,21,19,2,15,12,814,35,86,8,11,19,16,1.64,22,31,18.5,28.3,14,38,0,0,82,15,21,41.7
Emerson Palmieri,West Ham,it ITA,DF,28,36,35,"3,137",2,1,0,10,0,1.5,1.5,2.4,59,125,124,0.06,0.03,0.09,0.04,0.07,0.11,0.04,,,,,,,,,,,,,,,,1,19,4,21.1,0.55,0.11,0.05,0.25,17.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5,1421,1745,81.4,19356,7676,893,983,90.8,406,510,79.6,54,104,51.9,2,2.4,2.1,-0.4,25,89,22,7,125,1459,280,18,2,5,49,256,6,0,5,0,6,57,74,2.12,49,6,3,4,8,4,12,0.34,6,2,1,1,1,1,106,68,48,42,16,57,90,63.3,33,47,15,32,43,149,96,0,2168,168,679,988,521,39,2168,64,24,37.5,32,50.0,1057,5492,2790,59,47,9,36,17,1242,124,88,29,1,45,0,1.42,58,67,47.3,67.5,32,33,1,1,142,25,23,52.1
Emil Krafth,Newcastle Utd,se SWE,DF,28,17,8,913,0,0,0,2,0,0.2,0.2,1.0,12,29,33,0.00,0.00,0.00,0.02,0.10,0.12,0.02,,,,,,,,,,,,,,,,0,4,0,0.0,0.39,0.00,0.00,N/a,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,488,580,84.1,7498,2971,246,275,89.5,216,236,91.5,15,39,38.5,0,1.0,0.8,-1.0,9,26,13,7,29,514,65,11,0,0,17,53,1,0,0,0,1,14,18,1.77,13,3,1,0,1,0,1,0.10,1,0,0,0,0,0,21,14,10,7,4,12,25,48.0,13,8,3,5,9,30,21,0,661,48,279,241,145,10,661,6,3,50.0,2,33.3,358,1588,720,12,9,1,8,3,423,33,90,8,9,21,11,1.71,26,15,24.8,12.8,10,7,0,0,44,13,15,46.4
Emile Smith Rowe,Arsenal,eng ENG,MF,23,13,3,353,1,0,0,0,0,2.0,2.0,0.2,11,23,18,0.25,0.00,0.25,0.50,0.06,0.56,0.50,,,,,,,,,,,,,,,,0,15,5,33.3,3.82,1.27,0.00,0.00,15.6,0,0,0,2.0,2.0,0.13,-2.0,-2.0,188,213,88.3,2449,496,128,143,89.5,54,57,94.7,1,4,25.0,1,0.2,0.4,+0.8,4,13,11,0,23,207,6,3,0,1,1,1,1,0,0,0,0,2,13,3.31,10,1,0,1,1,0,2,0.51,1,1,0,0,0,0,4,1,2,2,0,2,4,50.0,2,3,1,2,3,7,1,0,253,1,21,106,127,19,253,7,3,42.9,3,42.9,154,827,472,11,8,1,6,4,189,18,76,0,10,13,18,2.23,12,3,7.8,2.0,5,2,0,0,15,3,5,37.5
Emiliano Martínez,Aston Villa,ar ARG,GK,30,34,34,"3,015",0,0,0,4,0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,1190,1436,82.9,28047,16368,248,250,99.2,715,722,99.0,223,452,49.3,0,0.0,0.0,0.0,2,21,0,0,2,1170,259,100,0,0,0,0,0,0,0,0,7,1,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,0,0,12,3,1509,1139,1484,25,0,0,1509,0,0,N/a,0,N/a,933,4389,2772,0,0,0,1,0,800,0,89,33,0,N/a,0,1.91,72,48,58.8,49.8,1,7,0,2,48,5,0,100.0
Enes Ünal,Bournemouth,tr TUR,"FW,MF",26,16,2,328,2,2,0,1,0,2.9,2.9,1.0,4,7,28,0.55,0.55,1.10,0.80,0.28,1.07,0.80,,,,,,,,,,,,,,,,2,23,8,34.8,6.31,2.20,0.09,0.25,12.5,2,0,0,2.9,2.9,0.13,-0.9,-0.9,55,75,73.3,698,213,35,45,77.8,12,16,75.0,4,5,80.0,2,1.0,0.1,+1.0,5,10,2,0,7,68,7,1,0,0,3,0,0,0,0,0,0,5,12,3.28,4,0,1,5,1,1,3,0.82,1,0,0,2,0,0,6,4,2,3,1,2,5,40.0,3,4,2,2,1,7,6,0,147,9,14,60,74,28,147,11,2,18.2,8,72.7,88,327,120,4,2,1,15,10,110,28,67,0,14,14,0,1.31,11,9,7.7,4.4,10,9,6,0,10,8,11,42.1
Enzo Fernández,Chelsea,ar ARG,MF,22,28,26,"2,209",2,2,2,7,0,6.2,4.6,3.4,52,210,54,0.08,0.08,0.16,0.25,0.14,0.39,0.19,,,,,,,,,,,,,,,,3,45,13,28.9,1.83,0.53,0.04,0.15,21.3,2,1,2,6.2,4.6,0.10,-3.2,-2.6,1574,1862,84.5,28776,8415,674,742,90.8,661,744,88.8,196,273,71.8,2,3.4,3.7,-1.4,32,177,43,4,210,1756,89,52,21,28,45,5,22,4,7,0,17,30,82,3.34,69,5,0,3,5,0,7,0.29,5,1,0,0,1,0,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0,2128,67,442,1209,488,47,2126,44,23,52.3,17,38.6,1315,6080,3109,52,46,8,29,24,1675,54,84,18,2,16,0,1.46,41,47,43.7,39.4,33,31,4,0,122,21,23,47.7
Eric Dier,Tottenham,eng ENG,DF,29,4,1,201,0,0,0,0,0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,125,141,88.7,2070,1037,52,57,91.2,69,72,95.8,3,10,30.0,0,0.0,0.0,0.0,0,3,0,0,3,132,9,6,0,0,0,0,0,0,0,0,0,0,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0,164,38,106,57,2,2,164,0,0,N/a,0,N/a,97,291,119,0,0,0,1,0,112,0,90,1,3,37,8,1.50,1,8,2.6,6.9,0,1,2,0,7,3,5,37.5
Erling Haaland,Manchester City,no NOR,FW,23,31,29,"2,552",5,20,8,1,0,29.2,22.9,4.3,35,26,126,0.18,0.71,0.88,1.03,0.15,1.18,0.81,,,,,,,,,,,,,,,,27,113,50,44.2,3.99,1.76,0.18,0.40,11.9,1,7,8,29.2,22.9,0.20,-2.2,-2.9,295,388,76.0,3234,567,197,242,81.4,56,70,80.0,5,8,62.5,5,4.3,2.2,+0.7,29,16,11,0,26,375,12,1,2,0,5,1,0,0,0,0,1,17,59,2.08,39,0,3,10,6,1,11,0.39,5,0,1,3,2,0,6,3,0,3,3,2,3,66.7,1,11,1,10,2,8,16,0,636,15,36,206,398,183,628,30,12,40.0,16,53.3,357,1628,728,35,13,22,41,19,489,126,86,20,2,25,1,2.32,65,25,59.5,26.2,18,31,6,0,47,39,42,48.1
Ethan Pinnock,Brentford,jm JAM,DF,30,29,28,"2,521",0,2,0,1,0,2.0,2.0,1.0,11,61,16,0.00,0.07,0.07,0.07,0.04,0.11,0.07,,,,,,,,,,,,,,,,2,19,4,21.1,0.68,0.14,0.11,0.50,9.8,0,0,0,2.0,2.0,0.11,0.0,0.0,1192,1432,83.2,22546,7516,399,466,85.6,672,739,90.9,98,178,55.1,0,1.0,0.8,-1.0,4,76,5,0,61,1374,55,26,0,8,7,24,0,0,0,0,3,13,24,0.86,16,1,0,6,0,1,1,0.04,1,0,0,0,0,0,35,23,22,13,0,9,20,45.0,11,40,24,16,43,78,170,3,1768,303,1001,661,113,43,1768,10,6,60.0,3,30.0,922,5095,3160,11,5,1,11,4,1025,16,90,28,1,1,0,1.21,44,46,45.5,39.2,4,11,0,0,131,113,51,68.9
Evan Ferguson,Brighton,ie IRL,FW,18,27,15,"1,367",0,6,0,1,0,4.6,4.6,0.5,13,15,62,0.00,0.40,0.40,0.30,0.04,0.34,0.30,,,,,,,,,,,,,,,,6,33,20,60.6,2.17,1.32,0.18,0.30,15.5,0,0,0,4.6,4.6,0.14,+1.4,+1.4,244,303,80.5,3028,349,156,180,86.7,54,63,85.7,11,15,73.3,0,0.5,0.8,-0.5,6,11,4,0,15,269,32,0,1,0,1,0,0,0,0,0,2,13,22,1.45,15,0,2,1,3,1,1,0.07,0,0,0,0,1,0,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0,448,13,64,204,185,45,448,16,7,43.8,6,37.5,286,1299,414,13,9,5,40,31,336,62,71,4,12,25,1,1.48,24,28,21.5,21.1,24,25,5,0,25,13,18,41.9
Ezri Konsa,Aston Villa,eng ENG,DF,25,35,35,"3,069",0,1,0,5,0,2.5,2.5,0.5,37,136,33,0.00,0.03,0.03,0.07,0.02,0.09,0.07,,,,,,,,,,,,,,,,1,19,5,26.3,0.56,0.15,0.05,0.20,12.2,0,0,0,2.5,2.5,0.13,-1.5,-1.5,1907,2094,91.1,31947,10672,827,878,94.2,959,1029,93.2,95,129,73.6,0,0.5,1.0,-0.5,8,132,14,2,136,1896,197,71,1,0,17,123,0,0,0,0,1,24,34,1.00,25,1,2,2,3,1,6,0.18,3,1,0,0,1,1,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,2359,239,971,1146,258,36,2359,34,19,55.9,6,17.6,1535,6930,3700,37,20,3,26,17,1669,33,88,30,0,N/a,0,1.77,68,54,55.1,52.2,14,64,0,0,142,30,14,68.2
Fabian Schär,Newcastle Utd,ch SUI,DF,31,36,35,"3,054",1,4,0,5,0,2.5,2.5,0.7,28,133,20,0.03,0.12,0.15,0.07,0.02,0.10,0.07,,,,,,,,,,,,,,,,4,35,9,25.7,1.03,0.27,0.11,0.44,18.9,3,0,0,2.5,2.5,0.07,+1.5,+1.5,1762,2128,82.8,36227,14874,588,647,90.9,894,985,90.8,261,437,59.7,1,0.7,1.4,+0.3,10,145,18,3,133,2044,76,67,6,41,8,6,0,0,0,0,8,15,47,1.39,33,2,2,4,5,1,12,0.35,8,0,0,0,3,1,42,24,27,13,2,18,40,45.0,22,50,38,12,36,78,133,1,2483,359,1304,1060,140,40,2483,22,13,59.1,8,36.4,1490,7974,4981,28,42,1,17,12,1677,20,86,31,1,28,0,1.56,72,58,63.6,57.3,38,26,0,0,174,69,70,49.6
